----------------------------------------
602062,Križanke,504091,Lavrica
602102,Gornji trg,504081,Lavrica pri Malči
602112,Privoz,504071,Pod Hribom
503012,Strelišče,504033,Rudnik
503022,Rakovnik,504021,Spodnji Rudnik
503032,Akademija,504011,Gornji Rudnik
503042,Peruzzijeva,503041,Peruzzijeva
504012,Gornji Rudnik,503031,Akademija
504022,Spodnji Rudnik,503021,Rakovnik
504032,Rudnik,503011,Strelišče
504072,Pod Hribom,602111,Privoz
504082,Lavrica pri Malči,602101,Gornji trg
504092,Lavrica,602061,Križanke
504102,Škofljica Petkovšek,602021,Drama
504112,Škofljica žaga,601011,Pošta
515013,Škofljica obračališče,700012,Hotel Lev
,,600012,Bavarski dvor (Kozolec)
----------------------------------------
3G,Bežigrad - Grosuplje,3G,Grosuplje - Bežigrad
201011,Železna,505141,Grosuplje
101031,Bežigrad,505132,Adamičev spomenik
100021,Razstavišče,505152,Ljubljanska
600012,Bavarski dvor (Kozolec),505162,OŠ Brinje
600022,Ajdovščina,505172,Kongo
601012,Konzorcij,505182,Dom starejših
602022,Drama,505192,Dom obrtnikov
602062,Križanke,505152,Ljubljanska
602102,Gornji trg,505122,Vodičar
503012,Strelišče,536022,Krpan
503022,Rakovnik,536012,Mrzle njive
504022,Spodnji Rudnik,505141,Grosuplje
504032,Rudnik,505111,Pod gozdom
504072,Pod Hribom,505101,Stara pošta
504082,Lavrica pri Malči,505091,Brvace
504092,Lavrica,505081,Cikava
504102,Škofljica Petkovšek,505071,Sap
504112,Škofljica žaga,505061,Šmarje
515012,Škofljica,505051,Razdrto
505012,Škofljica Javornik,505041,Mali vrh
505022,Reber pri Škofljici,505031,Špilar
505032,Špilar,505021,Reber pri Škofljici
505042,Mali vrh,505011,Škofljica Javornik
505052,Razdrto,515011,Škofljica špica
505062,Šmarje,504111,Škofljica žaga
505072,Sap,504101,Škofljica Petkovšek
505082,Cikava,504091,Lavrica
505092,Brvace,504081,Lavrica pri Malči
505102,Stara pošta,504071,Pod Hribom
505112,Pod gozdom,504033,Rudnik
505132,Adamičev spomenik,504021,Spodnji Rudnik
505152,Ljubljanska,503021,Rakovnik
505162,OŠ Brinje,503011,Strelišče
505172,Kongo,602101,Gornji trg
505182,Dom starejših,602061,Križanke
505192,Dom obrtnikov,602021,Drama
505122,Vodičar,601011,Pošta
536022,Krpan,600011,Bavarski dvor (Korabar)
536012,Mrzle njive,100012,Navje
505141,Grosuplje,201011,Železna
----------------------------------------
5,Podutik - Štepanjsko naselje,5,Štepanjsko naselje - Podutik
804221,Podutik,303041,Štepanjsko naselje
804211,Murkova,403051,Emona
804201,Omersova,403043,Štepanja vas
804191,Pod Kamno Gorico,403023,Kodeljevo
803151,Draveljska gmajna,403011,Jana Husa
803141,Koseze,402051,Glonarjeva
803131,Bratov Učakar,402061,Gornje Poljane
803081,Kneza Koclja,502013,Ambrožev trg
803011,Slovenija avto,402011,Hrvatski trg
802021,Kino Šiška,501011,Ilirska
802011,Stara cerkev,500011,Tavčarjeva
801011,Tivoli,700012,Hotel Lev
700011,Kolizej,801012,Tivoli
600032,Dalmatinova,802012,Stara cerkev
500012,Turist,802022,Kino Šiška
501012,Ilirska,803016,Šišenska
402012,Hrvatski trg,803082,Kneza Koclja
502014,Ambrožev trg,803132,Bratov Učakar
502022,Roška,803142,Koseze
402062,Gornje Poljane,803152,Draveljska gmajna
402052,Glonarjeva,804202,Omersova
403012,Jana Husa,804212,Murkova
403022,Kodeljevo,804221,Podutik
403042,Štepanja vas,,
403052,Emona,,
303041,Štepanjsko naselje,,
----------------------------------------
N5,Podutik - Štepanjsko naselje,N5,Štepanjsko naselje - Podutik
804221,Podutik,303041,Štepanjsko naselje
804211,Murkova,403051,Emona
804201,Omersova,403043,Štepanja vas
804191,Pod Kamno Gorico,403023,Kodeljevo
803151,Draveljska gmajna,403011,Jana Husa
803141,Koseze,402051,Glonarjeva
803131,Bratov Učakar,402061,Gornje Poljane
803081,Kneza Koclja,502013,Ambrožev trg
803011,Slovenija avto,402011,Hrvatski trg
802021,Kino Šiška,501011,Ilirska
802011,Stara cerkev,500011,Tavčarjeva
801011,Tivoli,700012,Hotel Lev
700011,Kolizej,600012,Bavarski dvor (Kozolec)
600011,Bavarski dvor (Korabar),700012,Hotel Lev
700011,Kolizej,801012,Tivoli
600032,Dalmatinova,802012,Stara cerkev
500012,Turist,802022,Kino Šiška
501012,Ilirska,803016,Šišenska
402012,Hrvatski trg,803082,Kneza Koclja
502014,Ambrožev trg,803132,Bratov Učakar
502022,Roška,803142,Koseze
402062,Gornje Poljane,803152,Draveljska gmajna
402052,Glonarjeva,804202,Omersova
403012,Jana Husa,804212,Murkova
403022,Kodeljevo,804221,Podutik
403042,Štepanja vas,,
403052,Emona,,
303041,Štepanjsko naselje,,
----------------------------------------
6,Črnuče - Dolgi most,6,Dolgi most - Črnuče
104161,Črnuče,704011,Dolgi most - obračališče
104111,Rogovile,704171,Tržaška
104101,Kolodvor Črnuče,703111,Dolgi most
104051,Sava,703101,Bonifacija
104031,Ježica,703091,Vič
103131,Ruski car,703081,Glince
103101,Stožice,703071,Stan in dom
103071,Smelt,602031,Hajdrihova
103031,AMZS,602041,Tobačna
102081,Mercator,602051,Aškerčeva
102041,Stadion,602021,Drama
