# Vir: http://www.lpp.si/sites/default/files/lpp_si/stran/datoteke/spisek_postajalisc_po_abecedi_marec_2011;".pdf"
# Regex: ([0-9]+)\n([0-9]+)\n([\w+\.\ ščžŠČŽ\(\)]+)
# → - Smer vožnje proti centru
# Stara številka;Nova številka;Ime postajališča
214;204042;"Letališka"
213;204041;"Letališka →"
215;204051;"Letališka"‐obračališče →
566;614072;"Lipe"
567;614071;"Lipe →"
92;803053;"Litostroj →"
233;803052;"Litostrojska"
232;803051;"Litostrojska →"
412;603092;"Livada"
413;603091;"Livada →"
578;304102;"Lj. Vevče Papirnica"
577;304103;"Lj. Vevče Papirnica →"
610;404132;"Ljubljana Dobrunje"
611;404131;"Ljubljana Dobrunje →"
614;404152;"Ljubljana Zadvor"
615;404151;"Ljubljana Zadvor →"
231;803062;"Ljubljanske brigade"
230;803061;"Ljubljanske brigade →"
636;415061;"Mali Lipoglav →"
686;103162;"Maroltova"
687;103161;"Maroltova →"
217;804131;"Martinova →"
375;804072;"Medno"
374;804071;"Medno →"
377;805012;"Medvoška a.p."
376;805011;"Medvoška a.p. →"
167;102082;"Mercator"
166;102081;"Mercator →"
44;603051;"Mestni log →"
509;503052;"Mihov štradon"
508;503051;"Mihov štradon →"
246;602072;"Mirje"
247;602071;"Mirje →"
401;102062;"Mostovna"
400;102061;"Mostovna →"
240;603062;"Murgle"
241;603061;"Murgle →"
114;804212;"Murkova"
115;804211;"Murkova →"
529;704062;"Na Gmajnici"
530;704061;"Na Gmajnici →"
197;802032;"Na jami"
196;802031;"Na jami →"
223;804092;"Na klancu"
222;804091;"Na klancu →"
446;204132;"Nadgorica"
445;204131;"Nadgorica →"
517;100012;"Navje"
91;203171;"Nove Jarše →"
89;203161;"Nove Jarše"‐Šmartinska →
421;103081;"Nove Stožice →"
407;203072;"Nove Žale"
406;203071;"Nove Žale →"
381;805032;"Novo naselje"
380;805031;"Novo naselje →"
270;204101;"Novo Polje →"
271;204102;"Novo Polje →"
513;504052;"NS Rudnik"
512;504051;"NS Rudnik →"
514;504061;"NS Rudnik →"
218;804111;"Ob daljnovodu"
219;804112;"Ob daljnovodu"
378;805021;"Ob igrišču →"
250;303032;"Ob sotočju"
528;744021;"Obračališče Vnanje Gorice →"
435;104082;"Obrtna cona"
434;104081;"Obrtna cona →"
116;804202;"Omersova"
117;804201;"Omersova →"
503;503014;"Orlova"
278;304022;"Osenjakova"
277;304021;"Osenjakova →"
484;104152;"OŠ Maksa Pečarja"
483;104151;"OŠ Maksa Pečarja →"
616;404162;"OŠ Sostro"
617;404161;"OŠ Sostro →"
632;415052;"Pance K."
633;415051;"Pance K. →"
351;101022;"Parmova"
350;101021;"Parmova →"
107;503042;"Peruzzijeva"
106;503041;"Peruzzijeva →"
284;304112;"Petrol"
283;304111;"Petrol →"
554;614012;"Plečnikova cerkev"
555;614011;"Plečnikova cerkev →"
187;803122;"Plešičeva"
186;803121;"Plešičeva →"
306;403032;"Pod Golovcem"
305;403031;"Pod Golovcem →"
656;504072;"Pod Hribom"
657;504071;"Pod Hribom →"
488;804192;"Pod Kamno Gorico"
489;804191;"Pod Kamno Gorico →"
